step,experiment,solver,network,n_requests,run,capacity,tw_duration,threads,runtime_ms,pareto_size,route_index,served,lu_cost,distance,route,clusters,prefixes_explored,prefixes_pruned,pruned_capacity,pruned_lu_bound,pruned_seed_lu,backtrack_calls,cluster_orderings,cross_product,valid_orderings,seed_lu,seed_dist,lb_lu,status,timeout
step2,scalability_requests,OptLoad,london,5,1,,,,4146,1,1,0,20,69207.74,"[Depot:91589,S5:128955,S2:278042,D5:189816,Depot:91589]",6,13,1,1,0,0,14,6,1,1,78,203243.20,34,success,0
step2,scalability_requests,OptLoad,london,5,2,,,,1966,2,1,10,20,50900.34,"[Depot:140540,S2:119269,D2:50318,S1:4107,D1:258825,Depot:140540]",6,14,0,0,0,0,14,7,2,2,90,140781.81,40,success,0
step2,scalability_requests,OptLoad,london,5,2,,,,1966,2,2,10,20,50900.34,"[Depot:140540,S2:119269,D2:50318,S1:4107,D1:258825,Depot:140540]",6,14,0,0,0,0,14,7,2,2,90,140781.81,40,success,0
step2,scalability_requests,OptLoad,london,5,3,,,,8489,4,1,13,37,144213.33,"[Depot:110781,S4:269224,D4:6873,S3:237737,S2:172320,S1:248319,D2:183835,D1:278558,Depot:110781]",5,16,0,0,0,0,16,7,4,4,52,196238.56,32,success,0
step2,scalability_requests,OptLoad,london,5,3,,,,8489,4,2,4,8,47335.52,"[Depot:110781,S2:172320,D2:183835,Depot:110781]",5,16,0,0,0,0,16,7,4,4,52,196238.56,32,success,0
step2,scalability_requests,OptLoad,london,5,3,,,,8489,4,3,4,8,47335.52,"[Depot:110781,S2:172320,D2:183835,Depot:110781]",5,16,0,0,0,0,16,7,4,4,52,196238.56,32,success,0
step2,scalability_requests,OptLoad,london,5,3,,,,8489,4,4,4,8,47335.52,"[Depot:110781,S2:172320,D2:183835,Depot:110781]",5,16,0,0,0,0,16,7,4,4,52,196238.56,32,success,0
step2,scalability_requests,OptLoad,london,5,4,,,,6996,2,1,1,2,48779.79,"[Depot:23275,S3:49828,D3:35598,Depot:23275]",6,14,0,0,0,0,14,7,2,2,76,242144.74,36,success,0
step2,scalability_requests,OptLoad,london,5,4,,,,6996,2,2,1,2,48779.79,"[Depot:23275,S3:49828,D3:35598,Depot:23275]",6,14,0,0,0,0,14,7,2,2,76,242144.74,36,success,0
step2,scalability_requests,OptLoad,london,5,5,,,,8764,2,1,7,24,126534.53,"[Depot:179481,S1:161545,S5:54498,D1:239552,D5:173567,Depot:179481]",5,15,0,0,0,0,15,6,2,2,82,226236.09,28,success,0
step2,scalability_requests,OptLoad,london,5,5,,,,8764,2,2,5,10,69645.67,"[Depot:179481,S5:54498,D5:173567,Depot:179481]",5,15,0,0,0,0,15,6,2,2,82,226236.09,28,success,0
step2,scalability_requests,OptLoad,london,5,6,,,,8135,2,1,6,22,89183.77,"[Depot:106631,S4:89527,S1:159294,D4:217322,D1:82281,Depot:106631]",5,16,0,0,0,0,16,7,4,4,106,271478.19,30,success,0
step2,scalability_requests,OptLoad,london,5,6,,,,8135,2,2,6,22,89183.77,"[Depot:106631,S4:89527,S1:159294,D4:217322,D1:82281,Depot:106631]",5,16,0,0,0,0,16,7,4,4,106,271478.19,30,success,0
step2,scalability_requests,OptLoad,london,5,7,,,,12172,4,1,7,23,96021.33,"[Depot:129993,S2:8360,S3:47599,S4:148420,D4:122659,D3:52393,Depot:129993]",5,26,0,0,0,0,26,8,6,6,70,192811.82,24,success,0
step2,scalability_requests,OptLoad,london,5,7,,,,12172,4,2,7,23,96021.33,"[Depot:129993,S2:8360,S3:47599,S4:148420,D4:122659,D3:52393,Depot:129993]",5,26,0,0,0,0,26,8,6,6,70,192811.82,24,success,0
step2,scalability_requests,OptLoad,london,5,7,,,,12172,4,3,6,18,81845.47,"[Depot:129993,S3:47599,S4:148420,D4:122659,D3:52393,Depot:129993]",5,26,0,0,0,0,26,8,6,6,70,192811.82,24,success,0
step2,scalability_requests,OptLoad,london,5,7,,,,12172,4,4,6,18,81845.47,"[Depot:129993,S3:47599,S4:148420,D4:122659,D3:52393,Depot:129993]",5,26,0,0,0,0,26,8,6,6,70,192811.82,24,success,0
step2,scalability_requests,OptLoad,london,5,8,,,,6854,4,1,7,14,109921.09,"[Depot:244272,S3:236733,D3:93644,S2:114187,D2:213535,Depot:244272]",5,19,0,0,0,0,19,7,4,4,54,226338.17,32,success,0
step2,scalability_requests,OptLoad,london,5,8,,,,6854,4,2,7,14,109921.09,"[Depot:244272,S3:236733,D3:93644,S2:114187,D2:213535,Depot:244272]",5,19,0,0,0,0,19,7,4,4,54,226338.17,32,success,0
step2,scalability_requests,OptLoad,london,5,8,,,,6854,4,3,5,10,85218.82,"[Depot:244272,S1:154109,D1:145763,Depot:244272]",5,19,0,0,0,0,19,7,4,4,54,226338.17,32,success,0
step2,scalability_requests,OptLoad,london,5,8,,,,6854,4,4,5,10,85218.82,"[Depot:244272,S1:154109,D1:145763,Depot:244272]",5,19,0,0,0,0,19,7,4,4,54,226338.17,32,success,0
step2,scalability_requests,OptLoad,london,5,9,,,,5804,1,1,0,22,140538.44,"[Depot:238380,S3:203327,S1:222286,D3:9655,D1:11894,Depot:238380]",5,11,1,1,0,0,12,5,1,1,42,252537.40,22,success,0
step2,scalability_requests,OptLoad,london,5,10,,,,6815,0,0,0,0,0.00,,4,14,0,0,0,0,14,5,2,0,60,252057.78,22,success,0
step2,scalability_requests,Insertion,london,5,1,,,,5042,1,1,2,4,56205.49,"[Depot:91589,S3:2299,D3:280233,Depot:91589]",,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,5,2,,,,4867,1,1,14,36,71287.27,"[Depot:140540,S2:119269,D2:50318,S1:4107,S4:71401,D1:258825,D4:211567,Depot:140540]",,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,5,3,,,,9548,1,1,8,16,97576.75,"[Depot:110781,S4:269224,D4:6873,S2:172320,D2:183835,Depot:110781]",,,,,,,,,,,,,,success,0
step2,scalability_requests,Insertion,london,5,4,,,,7316,1,1,6,12,92686.33,"[Depot:23275,S5:130524,D5:273636,S3:49828,D3:35598,Depot:23275]",,,,,,,,,,,,,,success,0
